topic	rank	word	score
0	1	issues	0.03835342824459076
0	2	frustrated	0.03507043048739433
0	3	billing	0.033651743084192276
0	4	resolution	0.030779846012592316
0	5	experiencing	0.03068578615784645
0	6	unclear	0.028985902667045593
0	7	seeking	0.027385728433728218
0	8	service	0.02719808928668499
0	9	charges	0.025770317763090134
0	10	unresolved	0.024852238595485687
1	1	clarification	0.02900235541164875
1	2	increase	0.027614209800958633
1	3	seeks	0.025893501937389374
1	4	consumption	0.023349668830633163
1	5	concerned	0.022687308490276337
1	6	bill	0.02250937558710575
1	7	high	0.021765751764178276
1	8	unhappy	0.021535810083150864
1	9	dewa	0.021385759115219116
1	10	compared	0.020392995327711105
2	1	assist	0.1112365797162056
2	2	overcharges	0.1112365797162056
2	3	agent	0.09641744941473007
2	4	attempts	0.08159830421209335
2	5	suspecting	0.08159830421209335
2	6	dissatisfied	0.06963400542736053
2	7	remains	0.06963400542736053
2	8	process	0.05811053514480591
2	9	water	0.04614623263478279
2	10	unhappy	0.04420130327343941
3	1	meters	0.14208370447158813
3	2	accounts	0.14208370447158813
3	3	expresses	0.14208370447158813
3	4	cost	0.14208370447158813
3	5	dewa	0.13975819945335388
3	6	wants	0.12315506488084793
3	7	verify	0.12315506488084793
3	8	multiple	0.11208251118659973
3	9	dissatisfaction	0.07422522455453873
3	10	high	0.038130369037389755
4	1	his	0.06969667226076126
4	2	incurred	0.06969667226076126
4	3	bear	0.06969667226076126
4	4	company	0.06969667226076126
4	5	feels	0.06969667226076126
4	6	absence	0.06969667226076126
4	7	wrongly	0.06969667226076126
4	8	during	0.06969667226076126
4	9	believes	0.06041155755519867
4	10	responsibility	0.06041155755519867
5	1	raise	0.20310194790363312
5	2	complaint	0.16021665930747986
5	3	patterns	0.14898672699928284
5	4	water	0.0842563584446907
5	5	unhappy	0.0807051956653595
5	6	unexpected	0.07591930776834488
5	7	consumption	0.04393172264099121
5	8	seeks	0.03615856170654297
5	9	electricity	0.0345650389790535
5	10	customer	0.0006078292499296367
6	1	six	0.13033749163150787
6	2	thousand	0.13033749163150787
6	3	dirhams	0.13033749163150787
6	4	facing	0.11297370493412018
6	5	assistance	0.09002000838518143
6	6	which	0.07529556751251221
6	7	amounts	0.07265622168779373
6	8	unexpectedly	0.06422736495733261
6	9	issue	0.05290484428405762
6	10	seeks	0.023204192519187927
7	1	checking	0.134713813662529
7	2	eight	0.134713813662529
7	3	seven	0.134713813662529
7	4	leaks	0.11676699668169022
7	5	past	0.10626878589391708
7	6	problem	0.09882017970085144
7	7	assistance	0.09304259717464447
7	8	months	0.09304259717464447
7	9	customer	0.0004031620337627828
7	10	billing	0.0002589177747722715
8	1	charge	0.10756142437458038
8	2	500	0.08214988559484482
8	3	feel	0.08214988559484482
8	4	believe	0.08214988559484482
8	5	related	0.08214988559484482
8	6	have	0.06480380892753601
8	7	paid	0.06480380892753601
8	8	aed	0.056738343089818954
8	9	additional	0.0514257550239563
8	10	incorrect	0.0474577359855175
9	1	small	0.14114497601985931
9	2	living	0.14114497601985931
9	3	accuracy	0.12234139442443848
9	4	studio	0.11134199798107147
9	5	questions	0.11134199798107147
9	6	readings	0.09748440235853195
9	7	bills	0.048877838999032974
9	8	despite	0.040403787046670914
9	9	consumption	0.03053019382059574
9	10	electricity	0.024020852521061897
10	1	deposits	0.2145807445049286
10	2	security	0.2145807445049286
10	3	policy	0.2145807445049286
10	4	refund	0.2145807445049286
10	5	customer	0.000642182189039886
10	6	seeks	0.0004124207189306617
10	7	charges	0.0004124207189306617
10	8	clarification	0.0004124207189306617
10	9	consumption	0.0004124207189306617
10	10	billing	0.0004124207189306617
11	1	sees	0.1425197869539261
11	2	still	0.1425197869539261
11	3	unpaid	0.1425197869539261
11	4	possible	0.12353304028511047
11	5	paid	0.1124265119433403
11	6	indicating	0.09843393415212631
11	7	issue	0.057849712669849396
11	8	verification	0.04435976222157478
11	9	consumption	0.030827568843960762
11	10	bill	0.012546245940029621
12	1	levels	0.05301039293408394
12	2	despite	0.04883242025971413
12	3	seeks	0.04704916477203369
12	4	verification	0.044272784143686295
12	5	usage	0.04337547346949577
12	6	unexpectedly	0.042152829468250275
12	7	bills	0.03943250700831413
12	8	consumption	0.038867637515068054
12	9	concerned	0.035494592040777206
12	10	water	0.027586739510297775
13	1	aed	0.17338106036186218
13	2	65	0.1256917119026184
13	3	600	0.1256917119026184
13	4	risen	0.1256917119026184
13	5	usually	0.10894683748483658
13	6	has	0.09915171563625336
13	7	discrepancy	0.08681131154298782
13	8	which	0.07261171191930771
13	9	customer	0.00037616133340634406
13	10	billing	0.00024157745065167546
14	1	april	0.25185784697532654
14	2	possible	0.21830490231513977
14	3	error	0.1986776888370514
14	4	receiving	0.16512472927570343
14	5	electricity	0.0004840667243115604
14	6	seeks	0.0004840667243115604
14	7	charges	0.0004840667243115604
14	8	clarification	0.0004840667243115604
14	9	consumption	0.0004840667243115604
14	10	billing	0.0004840667243115604
15	1	success	0.1277032345533371
15	2	channels	0.1277032345533371
15	3	through	0.1277032345533371
15	4	trying	0.1277032345533371
15	5	claiming	0.1106903925538063
15	6	without	0.1106903925538063
15	7	have	0.1007385104894638
15	8	charge	0.08372564613819122
15	9	customer	0.0003821812861133367
15	10	billing	0.0002454435743857175
16	1	portal	0.1207486167550087
16	2	missing	0.1207486167550087
16	3	address	0.10466227680444717
16	4	notifications	0.09525236487388611
16	5	email	0.09525236487388611
16	6	expected	0.08857592195272446
16	7	due	0.083397276699543
16	8	higher	0.06975610554218292
16	9	incorrect	0.06975610554218292
16	10	frustrated	0.032404765486717224
17	1	account	0.02897719293832779
17	2	payment	0.025496162474155426
17	3	amount	0.021739978343248367
17	4	seek	0.020338214933872223
17	5	confused	0.014922778122127056
17	6	whether	0.014744085259735584
17	7	fearing	0.014744085259735584
17	8	satisfactory	0.014744085259735584
17	9	latest	0.014744085259735584
17	10	plan	0.014744085259735584
18	1	hessa	0.2578936815261841
18	2	short	0.2578936815261841
18	3	stay	0.2578936815261841
18	4	electric	0.2578936815261841
18	5	level	0.2578936815261841
18	6	residence	0.2235366255044937
18	7	unhappy	0.20445916056632996
18	8	questions	0.20343904197216034
18	9	received	0.15482251346111298
18	10	high	0.06920977681875229
19	1	meter	0.06485091894865036
19	2	adults	0.062183983623981476
19	3	household	0.062183983623981476
19	4	only	0.062183983623981476
19	5	informed	0.053899724036455154
19	6	check	0.053899724036455154
19	7	neighbors	0.053899724036455154
19	8	technician	0.04905374348163605
19	9	having	0.04905374348163605
19	10	potential	0.045615460723638535
20	1	may	0.0336492583155632
20	2	dissatisfied	0.02669425681233406
20	3	issue	0.025921225547790527
20	4	technical	0.021354101598262787
20	5	within	0.021354101598262787
20	6	limited	0.021354101598262787
20	7	ac	0.021354101598262787
20	8	leak	0.021354101598262787
20	9	resolved	0.021354101598262787
20	10	10	0.021354101598262787
21	1	warehouse	0.08728022873401642
21	2	active	0.0756525993347168
21	3	has	0.06885087490081787
21	4	questioning	0.06885087490081787
21	5	confusion	0.06885087490081787
21	6	expected	0.06402496993541718
21	7	status	0.06028170883655548
21	8	details	0.06028170883655548
21	9	seeking	0.05918160453438759
21	10	receiving	0.05722324177622795
22	1	june	0.22062565386295319
22	2	surge	0.12740890681743622
22	3	january	0.12740890681743622
22	4	significant	0.11878380924463272
22	5	explanation	0.11043526977300644
22	6	increase	0.08639142662286758
22	7	electricity	0.04312146455049515
22	8	concerned	0.038157664239406586
22	9	seeks	0.022682812064886093
22	10	bill	0.022187145426869392
23	1	fault	0.21953628957271576
23	2	consistently	0.21953628957271576
23	3	suspects	0.12682543694972992
23	4	meter	0.11468683183193207
23	5	bills	0.0760243833065033
23	6	electricity	0.037361931055784225
23	7	concerned	0.0330854095518589
23	8	high	0.029668958857655525
23	9	customer	0.0006570128025487065
23	10	billing	0.0004219452093821019
24	1	aed	0.03115963563323021
24	2	receiving	0.029576510190963745
24	3	which	0.026055797934532166
24	4	other	0.02258901856839657
24	5	flats	0.02258901856839657
24	6	numbers	0.02258901856839657
24	7	closed	0.02258901856839657
24	8	compare	0.02258901856839657
24	9	submit	0.02258901856839657
24	10	renovations	0.02258901856839657
25	1	invoice	0.16790148615837097
25	2	past	0.15280590951442719
25	3	months	0.13378772139549255
25	4	two	0.13378772139549255
25	5	amounts	0.10798165202140808
25	6	unhappy	0.07697221636772156
25	7	clarification	0.040053170174360275
25	8	seeks	0.034486062824726105
25	9	high	0.02617836557328701
25	10	customer	0.0005797143676318228
26	1	dissatisfied	0.002882119035348296
26	2	charges	0.0028819816652685404
26	3	high	0.0028818442951887846
26	4	concerned	0.0028818442951887846
26	5	electricity	0.0028818442951887846
26	6	seeks	0.0028818442951887846
26	7	bill	0.0028818442951887846
26	8	clarification	0.0028818442951887846
26	9	consumption	0.0028818442951887846
26	10	billing	0.0028818442951887846
27	1	more	0.18461671471595764
27	2	used	0.18461671471595764
27	3	charged	0.16801831126213074
27	4	water	0.08835916966199875
27	5	unhappy	0.08463508635759354
27	6	resolution	0.0765824168920517
27	7	seeks	0.03791928291320801
27	8	electricity	0.036248162388801575
27	9	customer	0.000637427088804543
27	10	billing	0.000409366941312328
28	1	claiming	0.15364545583724976
28	2	accuracy	0.15364545583724976
28	3	questioning	0.13983158767223358
28	4	minimal	0.13003049790859222
28	5	usage	0.08987470716238022
28	6	unhappy	0.07043672353029251
28	7	billing	0.04398103430867195
28	8	consumption	0.03834209591150284
28	9	charges	0.03504250571131706
28	10	electricity	0.03016717918217182
29	1	number	0.20615039765834808
29	2	provide	0.11904960870742798
29	3	follow	0.11904960870742798
29	4	mobile	0.11904960870742798
29	5	requests	0.09391210228204727
29	6	account	0.0586649514734745
29	7	significant	0.055609602481126785
29	8	increase	0.04047605022788048
29	9	verification	0.03705459088087082
29	10	consumption	0.025750882923603058
30	1	confusion	0.28041693568229675
30	2	billing	0.08819914609193802
30	3	clarification	0.07350228726863861
30	4	charges	0.07027392089366913
30	5	seeks	0.06328600645065308
30	6	electricity	0.060496967285871506
30	7	concerned	0.05357235297560692
30	8	high	0.04804040119051933
30	9	bill	0.03129313513636589
30	10	consumption	0.0006832196959294379
31	1	700	0.16881166398525238
31	2	200	0.16881166398525238
31	3	jumped	0.16881166398525238
31	4	dubai	0.1331668347120285
31	5	studio	0.1331668347120285
31	6	aed	0.11659291386604309
31	7	charges	0.0003244687686674297
31	8	clarification	0.00032445331453345716
31	9	consumption	0.00032445331453345716
31	10	billing	0.00032445331453345716
32	1	customer	0.0028818442951887846
32	2	bill	0.0028818442951887846
32	3	high	0.0028818442951887846
32	4	concerned	0.0028818442951887846
32	5	electricity	0.0028818442951887846
32	6	seeks	0.0028818442951887846
32	7	charges	0.0028818442951887846
32	8	clarification	0.0028818442951887846
32	9	consumption	0.0028818442951887846
32	10	billing	0.0028818442951887846
33	1	suspect	0.18503309786319733
33	2	past	0.14596307277679443
33	3	two	0.12779654562473297
33	4	months	0.12779654562473297
33	5	seek	0.12779654562473297
33	6	account	0.09118009358644485
33	7	unhappy	0.0735253095626831
33	8	clarification	0.0003556306182872504
33	9	consumption	0.0003556306182872504
33	10	billing	0.0003556306182872504
34	1	meter	0.12132442742586136
34	2	associated	0.11633507162332535
34	3	reading	0.10083670914173126
34	4	inspection	0.10083670914173126
34	5	informed	0.10083670914173126
34	6	request	0.08034897595643997
34	7	sudden	0.08034897595643997
34	8	suspects	0.06720641255378723
34	9	issue	0.047221168875694275
34	10	increase	0.03955312445759773
35	1	customer	0.0028818317223340273
35	2	bill	0.0028818317223340273
35	3	high	0.0028818317223340273
35	4	concerned	0.0028818317223340273
35	5	electricity	0.0028818317223340273
35	6	seeks	0.0028818317223340273
35	7	charges	0.0028818317223340273
35	8	clarification	0.0028818317223340273
35	9	consumption	0.0028818317223340273
35	10	billing	0.0028818317223340273
36	1	bedroom	0.2060467153787613
36	2	house	0.17859680950641632
36	3	unusually	0.1423099935054779
36	4	two	0.1423099935054779
36	5	clarification	0.042604558169841766
36	6	charges	0.040733255445957184
36	7	seeks	0.03668282553553581
36	8	concerned	0.031052451580762863
36	9	high	0.027845928445458412
36	10	bill	0.018138624727725983
37	1	customer	0.0028818442951887846
37	2	bill	0.0028818442951887846
37	3	high	0.0028818442951887846
37	4	concerned	0.0028818442951887846
37	5	electricity	0.0028818442951887846
37	6	seeks	0.0028818442951887846
37	7	charges	0.0028818442951887846
37	8	clarification	0.0028818442951887846
37	9	consumption	0.0028818442951887846
37	10	billing	0.0028818442951887846
38	1	error	0.08412263542413712
38	2	direct	0.053384929895401
38	3	confirming	0.053384929895401
38	4	resulting	0.053384929895401
38	5	unresolved	0.05251116678118706
38	6	usual	0.046272896230220795
38	7	reading	0.046272896230220795
38	8	frustration	0.046272896230220795
38	9	technician	0.042112622410058975
38	10	causing	0.042112622410058975
39	1	broadband	0.0754038393497467
39	2	emily	0.0754038393497467
39	3	half	0.0754038393497467
39	4	month	0.06535840779542923
39	5	facing	0.06535840779542923
39	6	activation	0.05948220565915108
39	7	potential	0.05531297251582146
39	8	errors	0.05531297251582146
39	9	away	0.05531297251582146
39	10	expressing	0.05531297251582146
40	1	did	0.05358722060918808
40	2	receive	0.05358722060918808
40	3	any	0.05358722060918808
40	4	prior	0.05358722060918808
40	5	property	0.0464482344686985
40	6	notification	0.0464482344686985
40	7	email	0.04227219521999359
40	8	minimal	0.03930924832820892
40	9	readings	0.03701100870966911
40	10	express	0.03701100870966911
41	1	clear	0.15491852164268494
41	2	notifications	0.14099019765853882
41	3	communication	0.131107896566391
41	4	lack	0.10325127094984055
41	5	regarding	0.09635793417692184
41	6	unexpectedly	0.08807367086410522
41	7	bills	0.061893053352832794
41	8	frustrated	0.04796473681926727
41	9	charges	0.03533285856246948
41	10	high	0.02415412664413452
42	1	customer	0.002881842665374279
42	2	bill	0.002881842665374279
42	3	high	0.002881842665374279
42	4	concerned	0.002881842665374279
42	5	electricity	0.002881842665374279
42	6	seeks	0.002881842665374279
42	7	charges	0.002881842665374279
42	8	clarification	0.002881842665374279
42	9	consumption	0.002881842665374279
42	10	billing	0.002881842665374279
43	1	customer	0.0028818442951887846
43	2	bill	0.0028818442951887846
43	3	high	0.0028818442951887846
43	4	concerned	0.0028818442951887846
43	5	electricity	0.0028818442951887846
43	6	seeks	0.0028818442951887846
43	7	charges	0.0028818442951887846
43	8	clarification	0.0028818442951887846
43	9	consumption	0.0028818442951887846
43	10	billing	0.0028818442951887846
44	1	customer	0.0028818442951887846
44	2	bill	0.0028818442951887846
44	3	high	0.0028818442951887846
44	4	concerned	0.0028818442951887846
44	5	electricity	0.0028818442951887846
44	6	seeks	0.0028818442951887846
44	7	charges	0.0028818442951887846
44	8	clarification	0.0028818442951887846
44	9	consumption	0.0028818442951887846
44	10	billing	0.0028818442951887846
